Date,User,Message
2022-01-18 11:05:20,"우기","우기님이 들어왔습니다."
2022-01-18 11:06:31,"우기","우기님이 나갔습니다."
2022-01-19 10:13:33,"아티","질문이 있는데 사이트 들어갔을때 인트로처럼 특정 화면 먼저 보여준다음 메인페이지 나타나게 하려면 어떤식으로 해야하는지 아시는 분 계신가요.. 검색하니까 자꾸 로딩만 떠서 ㅜㅜ"
2022-01-19 10:21:15,"30웹","인트로 화면 그냥 보여만 주고 바로 메인화면으로 가는건가요???"
2022-01-19 10:22:30,"30웹","인트로 ㅗ화면을 클릭을 이벤트를 발생시키면 메인화면으로 넘기는 경우가 있고 그게 아니라 시간이 기준으로 넘기는 것도 있어서,..."
2022-01-19 10:23:48,"아티","네네 좀 시선 잡는 용도처럼요! 클릭은 어떻게하면 될지 감이 잡히는데 시간은 모르겠어서 ㅠ 셋타임아웃 그걸로 하면 되나요,,?"
2022-01-19 10:24:50,"30웹","https://webisfree.com/2014-04-08/[javascript]-%EC%8B%9C%EA%B0%84-%EC%A7%80%EC%97%B0-%ED%95%A8%EC%88%98-%EC%9D%BC%EC%A0%95-%EC%8B%9C%EA%B0%84-%EB%92%A4-%EC%8B%A4%ED%96%89%EC%8B%9C%ED%82%A4%EA%B8%B0-settimeout()-%7B%7D"
2022-01-19 10:25:45,"30웹","3초를 설정하는 기준이 시간이 필요하실텐데.. 저는 세션에 설정한 후에 3초를 넣는방식을 사용합니다."
2022-01-19 10:27:26,"아티","아 인트로로 사용할 부분 먼저 떠있게 하고 보여줄 컨텐츠를 셋타임아웃 설정하라는 말씀이신거죠?"
2022-01-19 10:27:40,"30웹","인트로 화면 띄움 -->ajax로 자바에게 세션 설정 및 시간 설정 -->자바스크립트단에서 set타임 으로 스크립트 함수 실행"
2022-01-19 10:27:45,"30웹","저는 이렇게 할거 같아요"
2022-01-19 10:28:56,"아티","오우 생각보다 어렵네용.. 답변 감사합니다ㅎㅎㅎㅎ"
2022-01-19 10:28:57,"30웹","아니면 인증번호 유효시간 관련 예제를 보고것도 좋을거 같습니다. "
2022-01-19 10:29:22,"30웹","타이머 관련 예제를 사용하는거 같아서 좋을거 같네요"
2022-01-19 10:29:38,"아티","오 네네 참고해볼게요! 감사합니다!"
2022-01-19 10:29:41,"30웹","넵"
2022-01-19 13:48:47,"희표/시지","혹시 코테문제 같이 풀어보실분 계신가요"
2022-01-19 13:48:51,"희표/시지","https://programmers.co.kr/learn/courses/30/lessons/92343"
2022-01-19 13:49:21,"희표/시지","이거 로직잡기가 애매하네요"
2022-01-19 13:51:33,"30웹","저 한번 해보겠습니다.ㅎㅎ 로직공부하기 좋은거 같네요 ㅎㅎ"
2022-01-19 13:52:05,"희표/시지","혹시 푸셨으면 해설좀 같이 공유부탁드립니다"
2022-01-19 13:52:24,"30웹","넵 저도 부탁드립니다.ㅎㅎ "
2022-01-19 18:52:14,"zidol","신입 3일만에 런했네요..ㅠㅠ"
2022-01-19 18:52:46,"초롱초롱 튜브","대구인가요?"
2022-01-19 18:53:06,"희표/시지","뭐가 마음에 안드셨나요"
2022-01-19 18:53:11,"zidol","네..ㅠㅠ"
2022-01-19 18:53:57,"zidol","글쎄요 저도 잘모르겠네요..이런저런 말을 하지만 3일 출근하면서 단한명도 퇴근을 안하는걸 봐서 그런거 같은느낌이드네요...ㅋㅋ"
2022-01-19 18:56:51,"초롱초롱 튜브","개발자 특성상 야근을 하죠 ㅠ"
2022-01-19 18:57:04,"초롱초롱 튜브","프로젝트 기간에 투입되었나보네여"
2022-01-19 18:57:28,"초롱초롱 튜브","저도 취준생이지만 가스라이팅만 안 하면 회사 잘 다닐 듯해여"
2022-01-19 18:57:39,"초롱초롱 튜브","저는 사람이 문제라서"
2022-01-19 18:58:34,"코딩여우","ㅎ.. 저는 첫출근날에 출장가서 타지갔다가 밤 11시에 집에 돌아왔습니다 ㅋㅋ 그리고 일주일간 그짓을 했네요 사무실 데스크에는 일주일뒤에나 앉을 수가 있었던.."
2022-01-19 18:58:40,"코딩여우","욕보셨네요"
